block,,splite,,cos
122,6.421052632,3,1.5,0.691735347
42,2.210526316,3,1.5,0.62417494
122,6.421052632,3,1.5,0.691735347
57,3,6,3,0.840245282
35,1.842105263,2,1,0.652857635
18,0.947368421,2,1,0.956622209
23,1.210526316,2,1,0.957268842
16,0.842105263,2,1,0.9258201
63,3.315789474,6,3,0.708577677
60,3.157894737,6,3,0.952517786
28,1.473684211,2,1,0.884469171
34,1.789473684,2,1,0.898756905
34,1.789473684,2,1,0.898756905
42,2.210526316,3,1.5,0.823885841
541,28.47368421,22,11,0.566052082
25,1.315789474,2,1,0.905508747
525,27.63157895,22,11,0.551750917
549,28.89473684,22,11,0.577448483
48,2.526315789,3,1.5,0.774724734
547,28.78947368,22,11,0.580701687
102,5.368421053,3,1.5,0.506752199
122,6.421052632,3,1.5,0.691735347
28,1.473684211,2,1,0.887411967
541,28.47368421,22,11,0.566052082
122,6.421052632,3,1.5,0.691735347
122,6.421052632,3,1.5,0.691735347
20,1.052631579,2,1,0.975900073
38,2,3,1.5,0.614688999
