block,,splite,,cos
103,5.421052632,5,2.5,0.689816354
98,5.157894737,3,1.5,0.672735723
104,5.473684211,3,1.5,0.65242562
181,9.526315789,4,2,0.428738886
122,6.421052632,3,1.5,0.668311042
121,6.368421053,3,1.5,0.487310276
121,6.368421053,3,1.5,0.487310276
125,6.578947368,4,2,0.648200684
87,4.578947368,3,1.5,0.59030237
85,4.473684211,3,1.5,0.58486351
89,4.684210526,3,1.5,0.517384214
124,6.526315789,3,1.5,0.504300064
155,8.157894737,4,2,0.733816599
123,6.473684211,3,1.5,0.600259684
104,5.473684211,3,1.5,0.707661974
133,7,3,1.5,0.715262408
31,1.631578947,2,1,0.796696476
17,0.894736842,1,0.5,0.878960425
23,1.210526316,2,1,0.733740656
28,1.473684211,14,7,0.811444119
24,1.263157895,14,7,0.922122855
24,1.263157895,14,7,0.922122855
26,1.368421053,3,1.5,0.908540824
36,1.894736842,4,2,0.878466446
48,2.526315789,5,2.5,0.836660027
47,2.473684211,5,2.5,0.897548522
80,4.210526316,4,2,0.836374448
17,0.894736842,1,0.5,0.650108844
28,1.473684211,2,1,0.721605353
30,1.578947368,2,1,0.739509973
42,2.210526316,3,1.5,0.666924017
42,2.210526316,4,2,0.666924017
37,1.947368421,4,2,0.797158073
32,1.684210526,2,1,0.501901148
28,1.473684211,2,1,0.721605353
23,1.210526316,8,4,0.923093083
29,1.526315789,5,2.5,0.950872826
73,3.842105263,5,2.5,0.89743705
133,7,6,3,0.823623337
82,4.315789474,2,1,0.656709103
22,1.157894737,2,1,0.966091783
22,1.157894737,2,1,0.966091783
28,1.473684211,2,1,0.922410069
78,4.105263158,2,1,0.384344071
127,6.684210526,2,1,0.326303411
87,4.578947368,2,1,0.48638609
113,5.947368421,2,1,0.441670596
46,2.421052632,2,1,0.842857143
38,2,3,1.5,0.870300505
75,3.947368421,4,2,0.876208842
30,1.578947368,3,1.5,0.851049772
26,1.368421053,3,1.5,0.878310066
204,10.73684211,11,5.5,0.663775998
23,1.210526316,2,1,0.897538251
23,1.210526316,2,1,0.897538251
24,1.263157895,2,1,0.891882585
23,1.210526316,2,1,0.897538251
524,27.57894737,32,16,0.472853944
524,27.57894737,32,16,0.472853944
588,30.94736842,32,16,0.409270636
524,27.57894737,32,16,0.472853944
545,28.68421053,33,16.5,0.47639415
623,32.78947368,32,16,0.602425704
524,27.57894737,32,16,0.472853944
531,27.94736842,32,16,0.471073118
524,27.57894737,32,16,0.472853944
29,1.526315789,2,1,0.865687311
25,1.315789474,2,1,0.607158229
41,2.157894737,2,1,0.709316045
54,2.842105263,2,1,0.621518877
188,9.894736842,8,4,0.628587266
421,22.15789474,13,6.5,0.451678484
62,3.263157895,3,1.5,0.839479661
27,1.421052632,2,1,0.878310066
19,1,2,1,0.971428571
16,0.842105263,2,1,0.956182887
18,0.947368421,2,1,0.985610761
18,0.947368421,2,1,0.985610761
18,0.947368421,2,1,0.985610761
21,1.105263158,2,1,0.944809024
54,2.842105263,3,1.5,0.880122885
18,0.947368421,2,1,0.985610761
16,0.842105263,2,1,0.9258201
28,1.473684211,2,1,0.908540824
16,0.842105263,2,1,0.9258201
20,1.052631579,2,1,0.975900073
19,1,2,1,0.91025899
24,1.263157895,2,1,0.788850882
9,0.473684211,2,1,0.655936049
23,1.210526316,2,1,0.915723076
24,1.263157895,2,1,0.92966968
24,1.263157895,2,1,0.796819073
26,1.368421053,2,1,0.903874116
25,1.315789474,2,1,0.910043976
