block,cos
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2.736842105,0.994938857
1.052631579,0.991117009
1.052631579,0.991117009
1.052631579,0.991117009
1.052631579,0.991117009
1.052631579,0.991117009
1.789473684,0.990258676
17.89473684,0.990258676
3.578947368,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.789473684,0.990258676
1.105263158,0.990037841
1.105263158,0.990037841
1.105263158,0.990037841
1.157894737,0.989093968
1.052631579,0.988866595
1.052631579,0.988866595
1.052631579,0.988866595
1.736842105,0.987603371
0.947368421,0.98754144
0.947368421,0.98754144
1.052631579,0.987135295
1.052631579,0.987135295
1.052631579,0.987135295
1.052631579,0.987135295
1.052631579,0.987135295
1.052631579,0.987135295
1.052631579,0.987135295
1.052631579,0.987135295
1.052631579,0.987135295
1.052631579,0.986013297
1.052631579,0.986013297
1.052631579,0.986013297
1.052631579,0.986013297
