1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,4,0,1,4,3,4,15,18,22,34,42,61,70,109,239,694
0,0,0,0,0,0,2,5,9,6,7,10,18,15,25,40,50,53,77,141,196
0,0,0,0,0,0,0,4,2,5,5,8,11,3,6,9,9,17,19,17,19
0,0,0,0,0,0,2,2,0,1,1,1,4,3,2,5,5,5,7,4,7
0,0,0,0,0,2,0,0,0,0,2,2,3,1,1,2,1,1,3,7,4
0,0,0,0,0,0,2,0,0,0,1,1,1,3,1,2,2,0,1,3,2
0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,2,2,1,2,0,3
0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,1,0,2,1,1
0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,11
