nl,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len,len
cos,0.645723824,0.659047237,0.671788184,0.675259141,0.702522306,0.70884926,0.746406205,0.805121665,0.853404179,0.853638056,0.860723366,0.915824613,0.924925268,0.925559611,0.958038068,0.958264716,0.958443645,0.966292852,0.977797922,0.991112581,0.994466353,0.995663295,0.997703984,0.997786815,0.997792164,1
splite,,,,,,,,,,,,,,,,,,,,,,,,,,
0.666666667,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,2,1,1,1,1,26
1.333333333,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
1.666666667,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.666666667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
