6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,2,4,2,1,5,16,19,12,19,36,51,116,113,129,268,491,1095,2977
3,0,0,2,1,4,5,11,20,30,34,43,58,76,87,107,133,234,372,712,892
0,0,1,0,2,1,4,8,7,6,16,21,31,32,32,39,56,66,84,124,126
0,0,0,0,1,1,3,5,6,7,10,12,20,12,12,12,26,27,21,30,23
0,0,0,0,1,0,2,5,4,3,3,6,6,9,12,5,11,16,14,12,11
0,0,0,0,0,1,3,6,2,5,0,3,3,9,7,9,7,6,1,6,10
0,0,0,1,0,1,0,1,1,2,2,2,5,5,4,6,3,2,4,9,5
1,0,0,2,0,1,0,1,1,2,3,5,0,3,5,5,0,3,2,6,4
0,0,0,0,0,0,3,2,1,0,2,2,3,5,4,3,1,2,3,12,5
0,0,0,0,0,1,1,2,1,1,1,2,2,3,4,4,1,0,2,3,1
0,0,0,0,0,0,0,0,2,2,0,1,2,1,1,2,4,0,3,4,1
0,0,0,0,0,0,1,1,1,0,0,2,2,1,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,2,0,0,2,0,1,2,1,2,0,0,3,3
0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,2
0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,1,0,0,0,3,0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0
0,0,0,0,0,1,1,1,3,1,3,2,3,2,0,2,1,2,5,10,4
