block,splite,cos
17,2,0.9710083124552245
51,2,0.822739617020243
20,2,0.9322944450820391
17,2,0.9710083124552245
17,2,0.9710083124552245
34,2,0.6507251519983097
17,2,0.9107651110783744
17,2,0.9710083124552245
17,2,0.9710083124552245
17,2,0.9710083124552245
17,2,0.9710083124552245
49,2,0.8866886704346117
17,2,0.9710083124552245
27,2,0.8731313054999178
24,3,0.8583325077599887
67,3,0.773213134720761
30,2,0.8801445210192383
62,2,0.6444850526605862
27,2,0.7521398046336105
19,2,0.9428571428571428
19,2,0.961571661806999
34,3,0.7252406676228422
73,8,0.6010721473817838
32,3,0.9669875568304563
17,3,0.9710083124552245
36,3,0.7447041169138257
19,2,0.9170205237216019
17,2,0.9710083124552245
25,2,0.9173460685716212
31,4,0.8660639443333454
62,6,0.8150853987290841
20,2,0.9515025711248198
41,4,0.49100352644586287
22,3,0.9128709291752769
17,2,0.9710083124552245
17,3,0.9710083124552245
17,2,0.9710083124552245
27,3,0.9116846116771037
19,2,0.961571661806999
28,2,0.8510497719203702
98,2,0.14646979809734284
45,4,0.6803360514166089
25,2,0.8822905744038869
41,4,0.8417927589811309
88,3,0.508862514772958
45,3,0.910166120476864
383,18,0.8663176486679433
17,2,0.9710083124552245
40,3,0.9564973695965467
19,2,0.9428571428571428
32,3,0.9669875568304563
18,2,0.9566222088265397
28,2,0.8874119674649424
35,3,0.8095109602454658
104,13,0.9706585129869569
17,2,0.9710083124552245
23,2,0.9575099982900424
1502,103,0.9520811925276734
27,4,0.8953526203121276
19,2,0.8892320230027655
17,2,0.9710083124552245
20,2,0.9027075674773932
37,2,0.655612168542959
16,2,0.9561828874675149
17,2,0.9710083124552245
25,2,0.8126360553720011
19,2,0.9428571428571428
17,2,0.9710083124552245
83,3,0.5850626363976402
60,4,0.9099144195313535
19,2,0.9428571428571428
164,10,0.23446587761041388
33,2,0.7894742009661643
17,2,0.9710083124552245
25,2,0.9053541010220678
22,2,0.8783100656536799
2,2,0.7171371656006361
140,6,0.5336995079959928
19,2,0.961571661806999
17,2,0.9710083124552245
87,3,0.7331873048712938
41,2,0.7201356616008804
70,5,0.8884265471385207
53,3,0.683326381015164
17,2,0.9428571428571428
17,2,0.9710083124552245
21,2,0.9519450934357727
18,2,0.9566222088265397
35,3,0.7914690144656902
17,2,0.9710083124552245
22,2,0.8867889026274118
23,2,0.952256041769571
17,2,0.9710083124552245
30,2,0.8765009801785554
72,7,0.5966941897186162
17,2,0.9710083124552245
21,3,0.9279706720076406
17,2,0.9710083124552245
114,7,0.7090860659542081
17,2,0.9710083124552245
20,2,0.9860132971832692
17,2,0.9710083124552245
17,2,0.9710083124552245
44,4,0.6620374995373379
30,3,0.9113532707206115
17,3,0.9710083124552245
21,2,0.8931977372352651
24,2,0.9035079029052513
17,2,0.9710083124552245
18,2,0.9566222088265397
95,8,0.5329923710392319
16,2,0.6789347398332043
73,3,0.5963765795456274
28,2,0.820412654142367
18,2,0.9276336570439173
17,2,0.9710083124552245
53,2,0.3730979217337711
47,3,0.7528371991317256
508,25,0.822902911219336
54,2,0.6109044089978485
17,2,0.9710083124552245
339,20,0.5238813524612831
17,3,0.9710083124552245
23,3,0.9403246919632545
19,2,0.9428571428571428
184,7,0.31211124036027194
53,3,0.7064899871512712
20,2,0.8918825850158447
22,3,0.917364944587726
40,3,0.8336550215650926
26,2,0.9500692495536145
17,2,0.9710083124552245
34,3,0.9563033666322931
19,2,1.0
21,2,0.8931977372352651
31,3,0.8660639443333454
18,2,0.9566222088265397
49,3,0.7938841860374448
23,2,0.8711400676249501
28,3,0.7081420771746312
31,3,0.8150853987290841
29,6,0.8859623899229176
52,3,0.8770136663261767
30,4,0.8537347209531383
27,2,0.898364527087647
17,2,0.9710083124552245
17,2,0.9710083124552245
17,2,0.9710083124552245
48,3,0.7042952122737638
17,2,0.9710083124552245
31,3,0.893911819484352
44,3,0.8045091814525641
38,3,0.9352760024870505
87,7,0.6454227338911251
22,3,0.917364944587726
17,2,0.9710083124552245
23,2,0.9021937088963173
24,3,0.8809202053326199
19,2,0.9428571428571428
909,60,0.9529084256997453
17,3,0.9710083124552245
19,2,0.9575099982900424
44,5,0.9128709291752769
24,3,0.9362816758985388
38,3,0.8894991799933214
40,3,0.9108865383319075
19,2,0.8892320230027655
46,4,0.9359315986098388
32,3,0.9669875568304563
63,2,0.6795834670585802
23,2,0.6716604942594675
17,2,0.9710083124552245
35,4,0.967351017680288
18,2,0.9566222088265397
20,2,0.9860132971832692
36,3,0.9336330661342157
23,2,0.8315218406202999
37,2,0.6271032028034079
45,3,0.9306800811953775
17,2,0.9710083124552245
37,5,0.8549465675092439
425,22,0.6784820208994651
142,8,0.6148997977332943
26,2,0.8645752410810452
31,4,0.9567518746570942
22,3,0.9486832980505139
90,8,0.9303378963460844
32,3,0.9583148474999098
12,2,0.8618916073713347
17,2,0.9710083124552245
18,2,0.9014978717104176
17,2,0.9710083124552245
32,3,0.8958635100122276
66,6,0.9635917421499695
17,2,0.9710083124552245
17,3,0.9710083124552245
138,12,0.9560672430314199
43,2,0.590731760688513
17,2,0.9710083124552245
17,2,0.9710083124552245
28,2,0.8552359741197579
48,3,0.5402904280391498
82,5,0.7021453184987695
32,3,0.9669875568304563
17,2,0.9710083124552245
26,2,0.8867889026274118
32,3,0.9669875568304563
23,2,0.9344767269690313
21,2,0.9658905768325904
68,3,0.6772962119561563
55,3,0.610973842766489
26,2,0.8050764858994132
32,3,0.9669875568304563
284,16,0.46073950323568463
21,2,0.8931977372352651
32,3,0.7286120888626996
17,2,0.9710083124552245
17,2,0.9710083124552245
26,3,0.8798335881615017
26,3,0.8798335881615017
38,3,0.9566807697649697
17,2,0.9710083124552245
17,2,0.9710083124552245
54,5,0.9250818328750856
26,3,0.9321831993987979
17,2,0.9710083124552245
30,2,0.9146504063595328
23,2,0.929268231259951
26,2,0.9235235529729346
17,2,0.9710083124552245
17,2,0.9710083124552245
82,5,0.8224396186997112
17,2,0.9710083124552245
801,56,0.9541167969193707
19,2,0.9428571428571428
84,5,0.730651859696409
20,2,0.9048740202266851
35,3,0.9457324874869207
19,2,0.9428571428571428
21,2,0.9725975251592748
17,2,0.9710083124552245
47,2,0.9087236832754221
28,2,0.832250378576479
438,24,0.7169247181247795
17,2,0.9710083124552245
17,3,0.9710083124552245
102,4,0.3659195065618608
133,3,0.3980002815484469
37,2,0.6793415247917899
40,2,0.6359888306543495
47,2,0.6785297963713594
26,2,0.9500692495536145
17,2,0.9710083124552245
38,2,0.6488383879243851
78,4,0.9149651529167142
20,2,0.9296696802013682
42,2,0.5443531448612622
25,3,0.8210069903077019
17,2,0.9710083124552245
17,2,0.9710083124552245
20,2,0.938952955723142
21,2,0.9071147352221454
32,3,0.7531446678801507
22,2,0.9430895977678839
14,2,0.8944271909999159
33,2,0.8914175098142254
31,3,0.314302690314802
20,2,0.938952955723142
144,8,0.89445491958768
36,2,0.7716331963811642
37,2,0.9227048686552426
182,4,0.32985707387649377
17,2,0.9710083124552245
21,4,0.9519450934357727
145,6,0.343254237136038
98,4,0.6682612364181328
17,2,0.9710083124552245
83,6,0.9398955729597399
17,2,0.9710083124552245
34,3,0.8369004806348969
32,3,0.9669875568304563
18,2,0.9276336570439173
22,2,0.9271050693011066
25,2,0.9227724824277952
17,2,0.9710083124552245
46,2,0.5510104168475841
32,2,0.7728098233339653
25,2,0.836225811457757
17,2,0.9710083124552245
20,2,0.938952955723142
39,3,0.9173288754291381
20,2,0.9515025711248198
34,5,0.8707154319342923
24,2,0.9099883613178742
53,2,0.5906719564707349
26,2,0.9333167411831967
29,2,0.9061004703659371
30,2,0.7768193328323316
22,2,0.9430895977678839
62,2,0.5151777977216274
65,5,0.9627133751052367
27,2,0.6218684120709055
25,2,0.9015249595808498
20,2,0.8607068760795468
54,4,0.9263710192499127
17,2,0.9710083124552245
17,2,0.9710083124552245
27,2,0.8953526203121276
78,2,0.3828592385997712
120,4,0.6991789528718967
17,2,0.9415838181383994
61,3,0.7572816383249606
24,2,0.9141741003300661
23,2,0.8451542547285166
20,4,0.938952955723142
49,3,0.8423184385165055
17,3,0.9710083124552245
20,2,0.9014978717104176
18,2,0.9578414886923188
16,2,0.9561828874675149
17,2,0.9710083124552245
17,2,0.9710083124552245
34,2,0.47834038488248487
93,5,0.9179505590390614
17,2,0.9710083124552245
20,2,0.8774535953713309
34,2,0.756978119245116
24,2,0.936262410645275
16,2,0.9561828874675149
17,2,0.9710083124552245
22,3,0.9486832980505139
32,2,0.8028965419920907
21,3,0.9725975251592748
83,3,0.29082261420153505
19,2,0.9428571428571428
26,2,0.9431729902702312
32,2,0.845330310194384
62,4,0.9501639596153789
19,2,0.9448090244404383
17,2,0.9710083124552245
102,4,0.5481142075784537
43,2,0.8715276470430755
343,28,0.513694729136624
22,2,0.7677718959499146
27,2,0.8466666107035109
17,2,0.9710083124552245
336,22,0.48262309934781
20,2,0.9322783152808269
466,30,0.9333324837424493
21,2,0.8210069903077019
21,2,0.9202643353333034
17,2,0.9710083124552245
29,2,0.8587920641947091
16,4,0.3984861462977211
44,3,0.8508455934764098
17,2,0.9710083124552245
60,3,0.8168117697373534
19,2,1.0
21,2,0.9071147352221454
46,3,0.8737709651608789
17,2,0.9710083124552245
24,3,0.9430895977678839
22,2,0.9428473041596073
30,3,0.9516249587478259
29,2,0.7723117183364651
20,2,0.8819620983110005
39,4,0.6864812119708626
37,3,0.9299418804486513
18,2,0.9566222088265397
44,2,0.6968168856095739
17,2,0.9710083124552245
39,3,0.8929401954728154
21,2,0.8711400676249501
17,2,0.9710083124552245
36,3,0.933624833002093
38,3,0.9191491526597654
52,2,0.7574097093298414
21,2,0.8994240298291866
161,9,0.9109176382423787
27,2,0.952256041769571
19,2,1.0
23,2,0.9122602945348453
41,2,0.7155488199836719
36,4,0.7801614649986327
17,3,0.9710083124552245
34,3,0.597452765454983
58,3,0.7393559564382366
63,4,0.7621763989199216
20,2,0.938952955723142
23,2,0.9800609575528865
23,2,0.9800609575528865
68,3,0.5638315941273632
19,2,0.9170205237216019
32,3,0.7039533729502659
32,3,0.7039533729502659
22,2,0.9430895977678839
43,3,0.8876412432645219
21,2,0.9279706720076406
35,2,0.7517754588364841
22,2,0.9430895977678839
32,3,0.9669875568304563
39,3,0.737276014077775
24,2,0.7546244947514078
17,2,0.9710083124552245
17,2,0.9710083124552245
23,3,0.9071147352221454
22,2,0.8907337387831413
141,9,0.8912792595237616
18,4,0.9566222088265397
22,3,0.9376144618769908
21,2,0.9202643353333034
17,2,0.9710083124552245
21,2,0.9170205237216019
48,2,0.637474412328547
33,2,0.876877577381407
19,2,0.9428571428571428
32,2,0.8315218406202998
23,2,0.9306138590020808
19,2,0.9428571428571428
20,3,0.9296696802013682
92,2,0.7910776357626511
21,2,0.9239364353597956
46,3,0.9281909617845141
55,2,0.5186710015444639
42,3,0.9419396923500876
22,2,0.8918825850158447
62,4,0.8298897610337218
198,18,0.7082864948681543
32,3,0.9669875568304563
17,2,0.9710083124552245
30,2,0.903696114115064
21,2,0.8931977372352651
97,6,0.9104460528428803
17,2,0.9710083124552245
24,3,0.9224100694021362
33,2,0.8154355063002009
25,4,0.9350324669687755
18,2,0.9566222088265397
27,2,0.917596047990961
17,2,0.9710083124552245
53,3,0.7621288185959469
53,3,0.7621288185959469
35,3,0.90251999638992
36,2,0.7466533929465574
37,3,0.9456108576893003
99,7,0.8698029843523689
131,5,0.3421763598154788
45,2,0.7741985213512663
32,3,0.9669875568304563
90,9,0.8987381158233188
19,2,1.0
25,2,0.8224711256421653
17,3,0.9710083124552245
18,13,0.9578414886923188
17,2,0.9710083124552245
30,9,0.8038369524685003
19,2,0.8788707488040823
24,2,0.643650304346789
19,2,0.9428571428571428
62,17,0.6976933866506561
21,2,0.9725975251592748
55,3,0.871169214929605
51,3,0.6778892030912299
21,2,0.9239364353597956
17,2,0.9710083124552245
17,2,0.9710083124552245
18,2,0.9566222088265397
38,3,0.7694001017897325
43,3,0.9395116900515076
17,2,0.9710083124552245
21,2,0.9519450934357727
17,2,0.9710083124552245
17,2,0.9710083124552245
27,2,0.8260162055644008
17,2,0.9710083124552245
73,8,0.7723894667364275
40,11,0.5914847651505893
971,61,0.9321786271208063
77,12,0.678278151074605
37,3,0.8669214468630106
29,3,0.951341424016901
32,3,0.9669875568304563
26,3,0.6262945776223706
32,3,0.9669875568304563
17,2,0.9710083124552245
17,2,0.9710083124552245
34,4,0.9710083124552245
102,2,0.40328322880745066
33,3,0.8336124327366622
17,2,0.9710083124552245
17,2,0.9710083124552245
6,2,0.21380899352993948
36,2,0.8795290947839238
24,2,0.7563225565351133
17,2,0.9710083124552245
16,2,0.9561828874675149
25,2,0.917596047990961
88,9,0.7758390063176229
97,5,0.8031967531243525
35,4,0.6502132133210019
48,3,0.5809475019311126
19,2,0.9448090244404383
19,2,0.961571661806999
19,2,0.961571661806999
25,2,0.9173460685716212
17,2,0.9710083124552245
29,2,0.8879674209817309
53,3,0.6930828456437431
17,2,0.9710083124552245
40,4,0.9246878495187546
153,19,0.60249729493106
17,2,0.9710083124552245
17,2,0.9710083124552245
17,2,0.9710083124552245
45,2,0.7491587023046326
43,2,0.7311874923873071
17,2,0.9710083124552245
20,2,0.9296696802013682
141,4,0.36694203012066035
200,16,0.942633093704915
17,2,0.9710083124552245
37,3,0.8540979350605947
81,7,0.9570375974745122
59,3,0.7896203576495447
18,2,0.9566222088265397
22,2,0.8607068760795468
15,2,0.9416472308615167
17,2,0.9710083124552245
17,2,0.9710083124552245
17,2,0.9710083124552245
44,4,0.9271050693011066
18,2,0.9566222088265397
17,2,0.9710083124552245
