block,splite,cos
22,3,0.9683296637314885
33,2,0.9114395022193393
12,1,0.9163419338230352
19,2,0.9714285714285714
22,2,0.9660917830792958
18,2,0.9856107606091622
18,2,0.9856107606091622
32,2,0.8612538776448218
21,2,0.9503346192272183
18,2,0.9856107606091622
18,2,0.9856107606091622
20,2,0.9578414886923188
22,2,0.9322944450820391
23,6,0.9499186363990609
32,5,0.9759000729485332
25,2,0.8205161505093933
138,2,0.17817864246007808
18,2,0.9856107606091622
39,2,0.9008659350499821
40,7,0.6872564503672763
19,2,0.9714285714285714
94,6,0.8771339517792988
22,3,0.9712709956231451
18,2,0.9856107606091622
24,2,0.9230784000933475
18,2,0.9856107606091622
26,3,0.9071147352221453
19,2,0.9714285714285714
20,2,0.8607068760795468
4,1,0.6761234037828132
18,2,0.9856107606091622
69,4,0.8782412891713963
18,3,0.9856107606091622
22,3,0.9428473041596073
82,2,0.15310636316482226
54,3,0.717255730066289
228,17,0.943995335484911
46,4,0.9669637859493743
23,2,0.9572688422609589
22,3,0.9428473041596073
24,2,0.9383369280147672
21,2,0.953747635118964
18,2,0.9856107606091622
30,2,0.8728715609439694
42,3,0.6324555320336759
64,5,0.5077963596336063
27,7,0.9242224797732559
21,2,0.953747635118964
18,2,0.9856107606091622
18,2,0.9856107606091622
34,2,0.7748271696689157
4,2,0.6761234037828132
34,3,0.9411239481143202
32,3,0.848528137423857
18,2,0.9856107606091622
4,2,0.6761234037828132
18,2,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
38,4,0.9670834833776721
18,3,0.9566222088265397
18,3,0.9856107606091622
18,2,0.9856107606091622
33,2,0.8907689867497084
18,2,0.9856107606091622
50,10,0.5959195425036842
18,2,0.9856107606091622
19,2,0.9714285714285714
18,2,0.9856107606091622
139,10,0.9267082508931329
18,2,0.9856107606091622
20,2,0.9578414886923188
18,3,0.9856107606091622
30,6,0.659231724180059
18,2,0.9856107606091622
18,2,0.9856107606091622
17,4,0.973035471890234
18,3,0.9856107606091622
19,2,0.9725975251592748
18,2,0.9856107606091622
121,5,0.5924347814471314
18,3,0.9856107606091622
21,2,0.9239364353597956
48,2,0.6989788470128611
18,2,0.9856107606091622
34,2,0.6520393235864733
18,2,0.9856107606091622
29,2,0.929268231259951
20,2,0.9578414886923188
64,3,0.1248218410997744
18,2,0.9856107606091622
18,2,0.9856107606091622
30,3,0.8299250027587323
112,4,0.5115525556216576
221,8,0.7211564463445004
62,3,0.7083571920326812
18,2,0.9856107606091622
21,2,0.9448090244404383
63,5,0.8370564038725481
18,2,0.9856107606091622
110,9,0.8606167084227789
23,3,0.9369159781709221
18,2,0.9856107606091622
228,17,0.943995335484911
32,3,0.9759000729485332
32,3,0.9759000729485332
194,5,0.6783568878008763
70,3,0.7932561497706375
18,2,0.9856107606091622
20,2,0.9578414886923188
18,2,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
64,3,0.7429815363401153
208,15,0.9444334318314392
26,2,0.936262410645275
21,2,0.8931977372352651
18,2,0.9856107606091622
69,4,0.8418267892562158
18,2,0.9856107606091622
25,2,0.9157230764999138
35,3,0.5138581861552922
21,2,0.9202643353333034
18,2,0.9856107606091622
20,2,0.9759000729485332
24,2,0.8970852271450603
22,3,0.938952955723142
27,2,0.9360504666899516
4,3,0.4225771273642583
45,5,0.6316761657092368
18,2,0.9566222088265397
19,2,0.9714285714285714
18,2,0.9856107606091622
32,3,0.9759000729485332
18,3,0.9856107606091622
49,2,0.7008255578851517
20,2,0.9578414886923188
32,2,0.8199200616907878
22,2,0.872278375988647
18,2,0.9856107606091622
200,4,0.5874434991892158
18,2,0.9856107606091622
18,2,0.9856107606091622
19,2,0.9767328030946411
18,2,0.9856107606091622
33,3,0.5724390559869375
15,2,0.9416472308615167
18,2,0.9856107606091622
34,4,0.8504200642707611
87,2,0.7475297355071383
30,3,0.7584260570639787
18,2,0.9856107606091622
22,4,0.9660917830792958
53,3,0.7583825804782425
39,4,0.9662208069167075
40,1,0.6015852075182384
23,2,0.876416745784994
23,2,0.876416745784994
23,2,0.876416745784994
23,2,0.876416745784994
18,2,0.9856107606091622
19,2,0.9239364353597956
119,14,0.6150743408708159
21,3,0.9279706720076406
18,2,0.9856107606091622
23,2,0.9572688422609589
18,3,0.9856107606091622
22,2,0.9800874596542027
23,2,0.9279706720076406
22,2,0.9561828874675149
25,2,0.9644220497841648
19,2,0.9714285714285714
20,2,0.9578414886923188
14,1,0.9369749612033813
22,2,0.7302967433402215
19,2,0.9714285714285714
35,3,0.9144599137184249
15,2,0.9102589898327995
20,2,0.9578414886923188
20,2,0.9578414886923188
18,6,0.9856107606091622
20,2,0.9578414886923188
18,2,0.9856107606091622
134,19,0.6739635249993732
80,3,0.7030941422830952
78,3,0.709645266028319
18,3,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
32,3,0.9759000729485332
24,2,0.9035079029052513
18,2,0.9856107606091622
18,2,0.9856107606091622
352,22,0.8551788244037523
18,2,0.9856107606091622
19,2,0.9714285714285714
18,2,0.9856107606091622
39,4,0.9892536661710625
38,3,0.566223365199127
19,3,0.9725975251592748
36,3,0.855830310623031
60,3,0.7742150004973255
18,2,0.9856107606091622
18,2,0.9856107606091622
21,2,0.9448090244404383
25,3,0.9496111058987169
22,2,0.9428473041596073
18,2,0.9856107606091622
18,2,0.9856107606091622
20,3,0.9759000729485332
35,7,0.81095999675616
19,2,0.9714285714285714
58,6,0.9495253559533845
46,4,0.9669637859493743
18,3,0.9856107606091622
18,3,0.9856107606091622
31,2,0.8268564142033542
18,2,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
19,3,0.9714285714285714
203,3,0.38767342342468314
21,2,0.9658905768325904
18,2,0.9856107606091622
26,9,0.8372106419451291
36,4,0.9202643353333034
18,2,0.9856107606091622
18,2,0.9856107606091622
112,21,0.6805372612174937
18,2,0.9856107606091622
24,2,0.9660122791674567
38,4,0.9131393811526061
57,5,0.7290433850821718
92,6,0.912143763406295
18,2,0.9856107606091622
102,8,0.5717553821910207
18,2,0.9856107606091622
40,3,0.9610646805481119
21,2,0.961571661806999
18,2,0.9856107606091622
18,2,0.9856107606091622
18,2,0.9856107606091622
274,18,0.47867680324527945
20,2,0.9322944450820391
57,2,0.6581501291543251
18,2,0.9856107606091622
26,2,0.9570879353629509
23,2,0.9572688422609589
21,4,0.9279706720076406
157,8,0.5382032223339368
27,3,0.8938204568265326
90,9,0.5845707595945703
18,3,0.9856107606091622
15,2,0.8451542547285166
24,6,0.9099883613178742
18,2,0.9856107606091622
18,2,0.9856107606091622
24,3,0.9660122791674567
18,2,0.9856107606091622
20,2,0.947045093930531
24,3,0.9660122791674567
32,3,0.9759000729485332
18,2,0.9856107606091622
18,2,0.9856107606091622
21,4,0.9417433124117757
38,2,0.9640537256404982
22,2,0.9719673332444924
19,2,0.9714285714285714
20,2,0.9578414886923188
30,3,0.7906378596476551
92,19,0.7722567183055385
18,14,0.9856107606091622
38,3,0.9670834833776721
18,2,0.9856107606091622
19,2,0.9411239481143202
18,3,0.9856107606091622
18,2,0.9856107606091622
19,2,0.9428571428571428
26,3,0.8889342392059454
22,7,0.938952955723142
22,2,0.9428473041596073
22,2,0.8867889026274118
18,2,0.9856107606091622
17,2,0.9710083124552245
20,2,0.947045093930531
20,2,0.947045093930531
22,4,0.8907337387831413
19,2,0.9714285714285714
31,2,0.8466666107035109
89,10,0.8056449059736293
34,2,0.9025217197084259
40,4,0.9185663679536721
139,9,0.722454187430973
35,2,0.5395203898670106
143,4,0.6577815850527362
18,2,0.9856107606091622
43,2,0.9503819266229828
18,2,0.9856107606091622
20,2,0.9578414886923188
64,9,0.7812990128754391
23,2,0.9499186363990609
20,2,0.9650349822710069
808,15,0.5334627160839585
18,2,0.9856107606091622
49,8,0.7700535410868201
18,2,0.9856107606091622
32,3,0.9759000729485332
18,2,0.9856107606091622
18,2,0.9856107606091622
22,2,0.9027075674773932
34,4,0.8811342210628018
18,2,0.9856107606091622
29,3,0.9015249595808498
21,2,0.9202643353333034
21,2,0.9202643353333034
14,3,0.9369749612033813
20,2,0.9578414886923188
25,3,0.8757549764126291
116,18,0.7208031313034694
37,2,0.8161001271141478
26,2,0.9154754164341269
24,4,0.9293403409880339
260,25,0.7402891822476906
18,2,0.9856107606091622
89,6,0.8699226107525826
36,2,0.8374185579922631
42,3,0.9296222517045284
52,4,0.9306138590020808
47,5,0.9003381589615195
63,3,0.8948692108890175
58,4,0.8750036971232157
22,2,0.8664002254439634
85,5,0.9086178261208411
44,3,0.9681316602428751
27,2,0.9089716762345905
2004,101,0.8996368811522838
55,2,0.8211257465448248
95,6,0.5004470273579545
58,4,0.601860469581381
193,11,0.9263455865804125
252,8,0.6669828959877583
18,2,0.9856107606091622
27,2,0.8822905744038869
54,5,0.9312297998303994
32,4,0.9759000729485332
18,2,0.9856107606091622
281,14,0.7676205333870708
33,7,0.7933207410405564
45,3,0.8806063050380118
19,2,0.9714285714285714
18,2,0.9856107606091622
62,3,0.8167395497118357
44,3,0.9230930832457441
42,4,0.9734250823650703
82,2,0.5955571064636884
63,5,0.9562203312396776
31,2,0.8826519397135433
29,4,0.8616965872065185
19,4,0.9714285714285714
116,11,0.6938347017889732
168,16,0.5163645781068514
19,2,0.9714285714285714
20,2,0.9578414886923188
18,2,0.9856107606091622
20,2,0.9578414886923188
24,2,0.9376144618769908
20,2,0.9578414886923188
19,2,0.9714285714285714
66,4,0.8008748717646782
18,2,0.9856107606091622
66,5,0.8113480845393759
75,5,0.9171015232055288
18,15,0.9856107606091622
19,3,0.9503346192272183
40,2,0.8955856925604015
