block,splite,cos
20,2,0.9759000729485332
49,3,0.8802170331720756
23,2,0.9287269204251442
29,5,0.932685859559026
44,4,0.8645752410810452
45,3,0.906791323933042
20,3,0.9759000729485332
54,5,0.8815124617289799
38,3,0.8781580431400956
42,4,0.838598088029512
20,2,0.9759000729485332
20,2,0.9759000729485332
550,17,0.3647436661705435
21,2,0.9658905768325904
20,2,0.9759000729485332
20,2,0.9759000729485332
46,3,0.8518354199999197
26,2,0.9495433918790781
20,2,0.9759000729485332
20,2,0.9759000729485332
169,9,0.5452238262346021
132,9,0.9628369892339985
66,6,0.5389252143674373
20,2,0.9759000729485332
617,37,0.38642571790344554
228,15,0.9601808821345071
21,3,0.9658905768325904
46,4,0.594649684623376
76,4,0.8872442622820284
46,3,0.9071147352221454
34,3,0.9335033858688309
52,4,0.9706494108305246
55,3,0.8419672222680333
24,2,0.9321831993987979
22,2,0.9561828874675149
774,60,0.8942838436597513
45,3,0.5924932650562421
67,5,0.5553012078703757
20,3,0.9759000729485332
20,2,0.9759000729485332
34,3,0.8702888011474107
34,3,0.8432740427115678
65,3,0.7493729969643871
38,5,0.9738788762887534
63,4,0.9040417333228195
21,2,0.9658905768325904
20,2,0.9759000729485332
45,3,0.9309250937259341
40,4,0.963554179941087
21,2,0.9658905768325904
300,11,0.5999216295250163
39,3,0.8995824336397942
48,3,0.7857203543885066
53,3,0.5413319619607668
30,3,0.6658003028611832
20,2,0.9759000729485332
23,2,0.6864025490801687
35,3,0.8999437552728884
20,2,0.9759000729485332
63,3,0.5975201847666733
21,3,0.9658905768325904
35,2,0.8860976410327693
20,2,0.9759000729485332
86,7,0.2882999880625789
30,3,0.9669875568304563
20,7,0.9759000729485332
18,2,0.5079721589671173
50,3,0.7954454150499325
26,2,0.9405816697932299
20,3,0.9759000729485332
22,2,0.9570879353629509
129,8,0.8434921995216929
20,2,0.9759000729485332
20,2,0.9759000729485332
22,2,0.9561828874675149
25,2,0.9434563530497264
25,2,0.9434563530497264
471,26,0.9599657714348561
33,2,0.7861661038591926
34,2,0.9271050693011065
37,3,0.9160307549240434
36,3,0.9743975315293801
20,2,0.9759000729485332
31,4,0.9276773134741387
27,3,0.8879674209817309
28,2,0.8451542547285166
